unit_id,trajectory_type,simulated_peak_t,simulated_min_t,simulated_max_t
U105,low_resistance_high_recovery,19,33,56
U106,low_resistance_high_recovery,22,45,59
U107,low_resistance_high_recovery,18,36,60
U108,low_resistance_high_recovery,22,42,64
U109,low_resistance_high_recovery,22,47,62
U110,low_resistance_high_recovery,25,32,53
U111,moderate_resilience,23,33,55
U112,moderate_resilience,19,40,54
U113,low_resistance_high_recovery,20,38,53
U114,moderate_resilience,22,42,56
U115,moderate_resilience,24,39,53
U116,moderate_resilience,26,33,55
U117,adaptive_growth,22,45,59
U118,low_resistance_high_recovery,18,36,56
U119,low_resistance_high_recovery,22,40,57
U120,high_resistance_low_recovery,22,42,63
U121,high_resistance_low_recovery,22,34,60
U122,low_resistance_high_recovery,21,38,62
U123,low_resistance_high_recovery,25,39,56
U124,moderate_resilience,19,51,57
U125,low_resistance_high_recovery,19,40,62
U126,low_resistance_high_recovery,20,32,63
U127,moderate_resilience,18,45,58
U128,persistent_decline,25,51,56
U129,moderate_resilience,25,50,54
U130,low_resistance_high_recovery,25,37,55
U131,persistent_decline,25,44,60
U132,low_resistance_high_recovery,22,39,53
U133,moderate_resilience,21,43,63
U134,moderate_resilience,19,38,52
U135,low_resistance_high_recovery,19,34,55
U136,persistent_decline,25,43,53
U137,low_resistance_high_recovery,21,47,53
U138,moderate_resilience,24,32,55
U139,moderate_resilience,22,51,60
U140,low_resistance_high_recovery,18,43,58
U141,moderate_resilience,25,44,57
U142,low_resistance_high_recovery,19,34,63
U143,moderate_resilience,19,34,57
U144,low_resistance_high_recovery,26,37,52
U145,high_resistance_low_recovery,20,34,54
U146,moderate_resilience,22,50,55
U147,moderate_resilience,23,44,59
U148,high_resistance_low_recovery,21,40,58
U149,low_resistance_high_recovery,21,47,56
U150,low_resistance_high_recovery,25,49,60
U151,low_resistance_high_recovery,23,35,56
U152,high_resistance_low_recovery,22,49,63
U153,adaptive_growth,25,44,57
U154,low_resistance_high_recovery,25,40,57
U155,persistent_decline,23,34,64
U156,high_resistance_low_recovery,23,44,55
U157,moderate_resilience,18,43,57
U158,low_resistance_high_recovery,20,43,56
U159,persistent_decline,19,43,56
U160,persistent_decline,20,33,62
U161,low_resistance_high_recovery,25,32,61
U162,moderate_resilience,20,39,52
U163,high_resistance_low_recovery,20,51,62
U164,low_resistance_high_recovery,20,34,60
U165,high_resistance_low_recovery,26,37,55
U166,low_resistance_high_recovery,20,50,56
U167,low_resistance_high_recovery,19,40,55
U168,high_resistance_low_recovery,24,42,57
U169,moderate_resilience,24,36,54
U170,adaptive_growth,19,49,55
U171,high_resistance_low_recovery,18,36,61
U172,persistent_decline,26,43,56
U173,low_resistance_high_recovery,21,36,56
U174,low_resistance_high_recovery,22,40,60
U175,high_resistance_low_recovery,23,44,59
U176,moderate_resilience,24,36,54
U177,persistent_decline,22,51,63
U178,high_resistance_low_recovery,22,39,52
U179,moderate_resilience,18,50,58
U180,adaptive_growth,21,47,53
U181,persistent_decline,22,39,59
U182,moderate_resilience,26,37,57
U183,moderate_resilience,20,38,62
U184,adaptive_growth,20,51,63
U185,moderate_resilience,23,37,55
U186,low_resistance_high_recovery,23,47,57
U187,moderate_resilience,23,44,52
U188,high_resistance_low_recovery,23,39,55
U189,persistent_decline,23,32,54
U190,high_resistance_low_recovery,25,46,53
U191,moderate_resilience,24,35,60
U192,persistent_decline,20,36,61
U193,moderate_resilience,24,47,57
U194,adaptive_growth,25,40,63
U195,low_resistance_high_recovery,19,48,57
U196,persistent_decline,25,36,58
U197,adaptive_growth,23,34,59
U198,high_resistance_low_recovery,25,47,63
U199,moderate_resilience,20,38,61
U200,adaptive_growth,26,44,63
U201,low_resistance_high_recovery,18,39,53
U202,moderate_resilience,20,45,58
U203,adaptive_growth,18,39,56
U204,low_resistance_high_recovery,24,38,60
U205,adaptive_growth,21,38,53
U206,persistent_decline,26,50,54
U207,adaptive_growth,25,42,62
U208,low_resistance_high_recovery,24,34,56
U209,moderate_resilience,22,33,52
U210,moderate_resilience,24,35,62
U211,adaptive_growth,18,40,52
U212,moderate_resilience,26,49,57
U213,high_resistance_low_recovery,19,41,59
U214,low_resistance_high_recovery,22,39,61
U215,low_resistance_high_recovery,23,37,57
U216,persistent_decline,18,40,57
U217,low_resistance_high_recovery,25,47,57
U218,moderate_resilience,23,43,53
U219,persistent_decline,21,33,64
U220,persistent_decline,18,47,64
U221,low_resistance_high_recovery,18,36,55
U222,low_resistance_high_recovery,26,37,58
U223,high_resistance_low_recovery,25,35,54
U224,adaptive_growth,18,39,53
U225,low_resistance_high_recovery,26,44,57
U226,low_resistance_high_recovery,20,41,55
U227,high_resistance_low_recovery,18,43,62
U228,moderate_resilience,19,45,54
U229,persistent_decline,25,41,63
U230,low_resistance_high_recovery,19,51,64
U231,persistent_decline,24,48,56
U232,low_resistance_high_recovery,18,35,55
U233,high_resistance_low_recovery,26,43,61
U234,high_resistance_low_recovery,22,37,61
U235,moderate_resilience,18,41,61
U236,high_resistance_low_recovery,19,49,55
U237,high_resistance_low_recovery,24,37,63
U238,low_resistance_high_recovery,21,49,63
U239,high_resistance_low_recovery,25,45,62
U240,moderate_resilience,26,42,59
U241,high_resistance_low_recovery,19,32,61
U242,moderate_resilience,22,49,60
U243,high_resistance_low_recovery,18,47,58
U244,moderate_resilience,19,49,63
U245,low_resistance_high_recovery,25,47,60
U246,low_resistance_high_recovery,22,51,64
U247,moderate_resilience,23,51,56
U248,moderate_resilience,25,43,55
U249,low_resistance_high_recovery,19,33,61
U250,high_resistance_low_recovery,25,43,54
U251,persistent_decline,25,37,54
U252,high_resistance_low_recovery,25,33,55
U253,persistent_decline,24,47,64
U254,low_resistance_high_recovery,25,46,57
U255,persistent_decline,20,48,53
U256,adaptive_growth,19,35,59
U257,low_resistance_high_recovery,25,36,64
U258,moderate_resilience,23,49,61
U259,low_resistance_high_recovery,21,44,59
U260,high_resistance_low_recovery,24,49,57
U261,adaptive_growth,26,47,63
U262,moderate_resilience,18,35,57
U263,moderate_resilience,22,41,64
U264,moderate_resilience,19,40,55
U265,moderate_resilience,20,50,52
U266,moderate_resilience,20,44,58
U267,persistent_decline,22,38,64
U268,low_resistance_high_recovery,22,40,59
U269,adaptive_growth,26,38,55
U270,low_resistance_high_recovery,18,49,52
U271,low_resistance_high_recovery,22,50,52
U272,adaptive_growth,21,34,56
U273,high_resistance_low_recovery,22,40,54
U274,low_resistance_high_recovery,23,37,58
U275,adaptive_growth,21,41,64
U276,moderate_resilience,24,48,56
U277,high_resistance_low_recovery,20,42,62
U278,low_resistance_high_recovery,18,46,63
U279,persistent_decline,20,49,53
U280,high_resistance_low_recovery,22,45,57
U281,high_resistance_low_recovery,20,46,61
U282,moderate_resilience,24,34,55
U283,high_resistance_low_recovery,22,51,59
U284,low_resistance_high_recovery,23,44,59
U285,low_resistance_high_recovery,25,42,64
U286,low_resistance_high_recovery,22,51,55
U287,low_resistance_high_recovery,26,32,52
U288,persistent_decline,24,44,60
U289,moderate_resilience,22,49,64
U290,persistent_decline,19,32,64
U291,adaptive_growth,24,39,58
U292,persistent_decline,20,46,59
U293,adaptive_growth,26,40,62
U294,persistent_decline,19,45,55
U295,moderate_resilience,19,51,52
U296,adaptive_growth,20,49,64
U297,low_resistance_high_recovery,18,39,53
U298,low_resistance_high_recovery,23,39,59
U299,low_resistance_high_recovery,25,51,62
U300,persistent_decline,18,47,54
U301,high_resistance_low_recovery,19,39,55
U302,low_resistance_high_recovery,18,35,56
U303,low_resistance_high_recovery,20,39,55
U304,moderate_resilience,26,34,62
U305,high_resistance_low_recovery,24,50,57
U306,moderate_resilience,26,48,52
U307,adaptive_growth,19,39,61
U308,adaptive_growth,20,49,57
U309,high_resistance_low_recovery,24,35,59
U310,persistent_decline,21,34,52
U311,high_resistance_low_recovery,26,46,63
U312,low_resistance_high_recovery,23,42,57
U313,low_resistance_high_recovery,22,36,57
U314,adaptive_growth,18,46,61
U315,moderate_resilience,24,33,55
U316,persistent_decline,26,49,52
U317,moderate_resilience,22,41,53
U318,low_resistance_high_recovery,20,40,60
U319,moderate_resilience,19,45,64
U320,high_resistance_low_recovery,25,46,52
U321,low_resistance_high_recovery,21,38,64
U322,persistent_decline,23,51,63
U323,moderate_resilience,24,36,56
U324,low_resistance_high_recovery,19,47,61
U325,low_resistance_high_recovery,18,40,55
U326,adaptive_growth,19,47,59
U327,adaptive_growth,23,46,64
U328,moderate_resilience,21,48,63
U329,adaptive_growth,23,44,57
U330,adaptive_growth,24,39,57
U331,adaptive_growth,21,38,57
U332,persistent_decline,24,36,62
U333,low_resistance_high_recovery,24,51,53
U334,adaptive_growth,25,49,57
U335,adaptive_growth,25,42,52
U336,moderate_resilience,21,43,58
U337,low_resistance_high_recovery,22,32,58
U338,low_resistance_high_recovery,25,43,56
U339,adaptive_growth,18,40,57
U340,low_resistance_high_recovery,24,36,53
U341,adaptive_growth,22,39,57
U342,moderate_resilience,25,41,60
U343,adaptive_growth,23,44,58
U344,high_resistance_low_recovery,25,49,53
U345,moderate_resilience,22,44,62
U346,high_resistance_low_recovery,26,34,57
U347,high_resistance_low_recovery,26,49,55
U348,adaptive_growth,20,41,56
U349,high_resistance_low_recovery,19,45,52
U350,moderate_resilience,25,35,57
U351,high_resistance_low_recovery,23,44,52
U352,high_resistance_low_recovery,24,37,64
U353,persistent_decline,25,49,61
U354,high_resistance_low_recovery,25,36,61
U355,low_resistance_high_recovery,19,46,55
U356,low_resistance_high_recovery,20,45,60
U357,low_resistance_high_recovery,26,35,59
U358,low_resistance_high_recovery,23,47,59
U359,persistent_decline,20,34,64
U360,low_resistance_high_recovery,24,46,52
U361,moderate_resilience,19,46,61
U362,high_resistance_low_recovery,20,43,57
U363,moderate_resilience,19,37,63
U364,adaptive_growth,25,43,55
U365,adaptive_growth,19,41,52
U366,moderate_resilience,20,51,52
U367,moderate_resilience,26,43,53
U368,moderate_resilience,24,50,54
U369,low_resistance_high_recovery,25,33,52
U370,low_resistance_high_recovery,19,48,54
U371,low_resistance_high_recovery,18,41,53
U372,high_resistance_low_recovery,21,48,59
U373,moderate_resilience,21,47,58
U374,low_resistance_high_recovery,21,49,59
U375,adaptive_growth,20,34,60
U376,adaptive_growth,18,50,52
U377,adaptive_growth,22,49,60
U378,low_resistance_high_recovery,18,49,58
U379,persistent_decline,23,41,61
U380,low_resistance_high_recovery,19,38,52
U381,moderate_resilience,26,45,54
U382,low_resistance_high_recovery,22,39,54
U383,adaptive_growth,19,43,57
U384,low_resistance_high_recovery,20,35,59
U385,low_resistance_high_recovery,22,47,64
U386,low_resistance_high_recovery,22,41,58
U387,moderate_resilience,20,33,53
U388,persistent_decline,24,48,63
U389,moderate_resilience,26,40,60
U390,high_resistance_low_recovery,26,38,63
U391,low_resistance_high_recovery,21,40,64
U392,low_resistance_high_recovery,18,46,52
U393,low_resistance_high_recovery,20,41,52
U394,low_resistance_high_recovery,19,35,60
U395,persistent_decline,22,38,62
U396,high_resistance_low_recovery,23,32,64
U397,moderate_resilience,18,40,57
U398,high_resistance_low_recovery,24,46,56
U399,persistent_decline,21,49,64
U400,high_resistance_low_recovery,19,38,59
U401,persistent_decline,20,44,53
U402,high_resistance_low_recovery,18,45,57
U403,moderate_resilience,18,43,57
U404,high_resistance_low_recovery,26,46,54
U405,moderate_resilience,24,32,63
U406,high_resistance_low_recovery,20,43,57
U407,persistent_decline,23,45,58
U408,moderate_resilience,26,45,53
U409,high_resistance_low_recovery,26,39,64
U410,persistent_decline,25,43,60
U411,adaptive_growth,23,41,64
U412,adaptive_growth,25,51,58
U413,high_resistance_low_recovery,20,49,53
U414,low_resistance_high_recovery,19,42,64
U415,low_resistance_high_recovery,22,35,53
U416,persistent_decline,21,46,54
U417,moderate_resilience,24,50,62
U418,low_resistance_high_recovery,18,37,53
U419,low_resistance_high_recovery,19,51,58
U420,persistent_decline,19,39,60
U421,high_resistance_low_recovery,23,37,54
U422,moderate_resilience,26,35,57
U423,moderate_resilience,22,49,59
U424,low_resistance_high_recovery,25,46,63
