unit_id,month,t,vitality,trajectory_type
U001,2022-03,51,8791.272,low_resistance_high_recovery
U001,2022-04,52,9666.848,low_resistance_high_recovery
U001,2022-05,53,10001.82,low_resistance_high_recovery
U001,2022-06,54,10988.686,low_resistance_high_recovery
U001,2022-07,55,12002.91,low_resistance_high_recovery
U001,2022-08,56,12318.086,low_resistance_high_recovery
U001,2022-09,57,12619.246,low_resistance_high_recovery
U001,2022-10,58,13282.655,low_resistance_high_recovery
U001,2022-11,59,12935.848,low_resistance_high_recovery
U001,2022-12,60,12591.109,low_resistance_high_recovery
U001,2023-01,61,11547.358,low_resistance_high_recovery
U001,2023-02,62,11903.083,low_resistance_high_recovery
U001,2023-03,63,12944.668,low_resistance_high_recovery
U001,2023-04,64,12833.204,low_resistance_high_recovery
U001,2023-05,65,13129.954,low_resistance_high_recovery
U001,2023-06,66,14453.8,low_resistance_high_recovery
U001,2023-07,67,14406.82,low_resistance_high_recovery
U001,2023-08,68,15111.897,low_resistance_high_recovery
U001,2023-09,69,15668.901,low_resistance_high_recovery
U001,2023-10,70,15662.852,low_resistance_high_recovery
U001,2023-11,71,15179.932,low_resistance_high_recovery
U001,2023-12,72,14482.846,low_resistance_high_recovery
U001,2024-01,73,14160.751,low_resistance_high_recovery
U001,2024-02,74,14545.911,low_resistance_high_recovery
U002,2018-01,1,12846.041,adaptive_growth
U002,2018-02,2,13266.183,adaptive_growth
U002,2018-03,3,13611.501,adaptive_growth
U002,2018-04,4,13546.09,adaptive_growth
U002,2018-05,5,13469.502,adaptive_growth
U002,2018-06,6,12856.248,adaptive_growth
U002,2018-07,7,12561.031,adaptive_growth
U002,2018-08,8,12284.256,adaptive_growth
U002,2018-09,9,11804.258,adaptive_growth
U002,2018-10,10,11754.797,adaptive_growth
U002,2018-11,11,11721.014,adaptive_growth
U002,2018-12,12,12135.68,adaptive_growth
U002,2019-01,13,12661.574,adaptive_growth
U002,2019-02,14,13261.765,adaptive_growth
U002,2019-03,15,12940.804,adaptive_growth
U002,2019-04,16,13280.994,adaptive_growth
U002,2019-05,17,12772.385,adaptive_growth
U002,2019-06,18,12666.005,adaptive_growth
U002,2019-07,19,11988.131,adaptive_growth
U002,2019-08,20,11897.555,adaptive_growth
U002,2019-09,21,11535.796,adaptive_growth
U002,2019-10,22,11109.348,adaptive_growth
U002,2019-11,23,11156.967,adaptive_growth
U002,2019-12,24,11718.349,adaptive_growth
U002,2020-01,25,11805.463,adaptive_growth
U002,2020-02,26,12139.158,adaptive_growth
U002,2020-03,27,12042.732,adaptive_growth
U002,2020-04,28,12131.299,adaptive_growth
U002,2020-05,29,11762.404,adaptive_growth
U002,2020-06,30,11460.064,adaptive_growth
U002,2020-07,31,10925.575,adaptive_growth
U002,2020-08,32,10556.2,adaptive_growth
U002,2020-09,33,10248.888,adaptive_growth
U002,2020-10,34,9957.897,adaptive_growth
U002,2020-11,35,10104.925,adaptive_growth
U002,2020-12,36,10490.34,adaptive_growth
U002,2021-01,37,10655.084,adaptive_growth
U002,2021-02,38,11002.084,adaptive_growth
U002,2021-03,39,11267.483,adaptive_growth
U002,2021-04,40,11445.855,adaptive_growth
U002,2021-05,41,11475.334,adaptive_growth
U002,2021-06,42,11039.647,adaptive_growth
U002,2021-07,43,10792.039,adaptive_growth
U002,2021-08,44,10349.964,adaptive_growth
U002,2021-09,45,10519.512,adaptive_growth
U002,2021-10,46,10261.929,adaptive_growth
U002,2021-11,47,10416.194,adaptive_growth
U002,2021-12,48,10916.139,adaptive_growth
U002,2022-01,49,11210.775,adaptive_growth
U002,2022-02,50,11431.274,adaptive_growth
U002,2022-03,51,11985.025,adaptive_growth
U002,2022-04,52,11813.259,adaptive_growth
U002,2022-05,53,11745.291,adaptive_growth
U002,2022-06,54,11728.111,adaptive_growth
U002,2022-07,55,11074.371,adaptive_growth
U002,2022-08,56,10698.367,adaptive_growth
U002,2022-09,57,10631.663,adaptive_growth
U002,2022-10,58,10693.642,adaptive_growth
U002,2022-11,59,11091.808,adaptive_growth
U002,2022-12,60,11641.205,adaptive_growth
U002,2023-01,61,12140.15,adaptive_growth
U002,2023-02,62,12889.095,adaptive_growth
U002,2023-03,63,12790.993,adaptive_growth
U002,2023-04,64,13161.86,adaptive_growth
U002,2023-05,65,13391.78,adaptive_growth
U002,2023-06,66,13055.338,adaptive_growth
U002,2023-07,67,12586.527,adaptive_growth
U002,2023-08,68,12509.481,adaptive_growth
U002,2023-09,69,12514.194,adaptive_growth
U002,2023-10,70,12419.305,adaptive_growth
U002,2023-11,71,12975.932,adaptive_growth
U002,2023-12,72,13655.814,adaptive_growth
U002,2024-01,73,14163.779,adaptive_growth
U002,2024-02,74,14862.563,adaptive_growth
U003,2018-01,1,17176.768,high_resistance_low_recovery
U003,2018-02,2,18522.888,high_resistance_low_recovery
U003,2018-03,3,17807.949,high_resistance_low_recovery
U003,2018-04,4,17540.783,high_resistance_low_recovery
U003,2018-05,5,16683.2,high_resistance_low_recovery
U003,2018-06,6,16164.093,high_resistance_low_recovery
U003,2018-07,7,16732.056,high_resistance_low_recovery
U003,2018-08,8,16456.932,high_resistance_low_recovery
U003,2018-09,9,16372.736,high_resistance_low_recovery
U003,2018-10,10,16400.175,high_resistance_low_recovery
U003,2018-11,11,18002.395,high_resistance_low_recovery
U003,2018-12,12,18242.946,high_resistance_low_recovery
U003,2019-01,13,17992.311,high_resistance_low_recovery
U003,2019-02,14,17677.714,high_resistance_low_recovery
U003,2019-03,15,17482.162,high_resistance_low_recovery
U003,2019-04,16,16024.216,high_resistance_low_recovery
U003,2019-05,17,17145.382,high_resistance_low_recovery
U003,2019-06,18,16397.06,high_resistance_low_recovery
U003,2019-07,19,16171.141,high_resistance_low_recovery
U003,2019-08,20,17114.023,high_resistance_low_recovery
U003,2019-09,21,16247.823,high_resistance_low_recovery
U003,2019-10,22,17713.482,high_resistance_low_recovery
U003,2019-11,23,17426.18,high_resistance_low_recovery
U003,2019-12,24,17761.497,high_resistance_low_recovery
U003,2020-01,25,18702.5,high_resistance_low_recovery
U003,2020-02,26,18178.257,high_resistance_low_recovery
U003,2020-03,27,17762.446,high_resistance_low_recovery
U003,2020-04,28,16887.983,high_resistance_low_recovery
U003,2020-05,29,16326.584,high_resistance_low_recovery
U003,2020-06,30,15559.602,high_resistance_low_recovery
U003,2020-07,31,16394.219,high_resistance_low_recovery
U003,2020-08,32,15789.389,high_resistance_low_recovery
U003,2020-09,33,15789.04,high_resistance_low_recovery
U003,2020-10,34,16691.865,high_resistance_low_recovery
U003,2020-11,35,17809.694,high_resistance_low_recovery
U003,2020-12,36,17475.234,high_resistance_low_recovery
U003,2021-01,37,17623.512,high_resistance_low_recovery
U003,2021-02,38,16871.144,high_resistance_low_recovery
U003,2021-03,39,16962.182,high_resistance_low_recovery
U003,2021-04,40,15800.255,high_resistance_low_recovery
U003,2021-05,41,14610.259,high_resistance_low_recovery
U003,2021-06,42,16177.486,high_resistance_low_recovery
U003,2021-07,43,15204.865,high_resistance_low_recovery
U003,2021-08,44,15506.842,high_resistance_low_recovery
U003,2021-09,45,15875.866,high_resistance_low_recovery
U003,2021-10,46,15582.742,high_resistance_low_recovery
U003,2021-11,47,16536.308,high_resistance_low_recovery
U003,2021-12,48,17432.093,high_resistance_low_recovery
U003,2022-01,49,16800.799,high_resistance_low_recovery
U003,2022-02,50,16467.381,high_resistance_low_recovery
U003,2022-03,51,16625.841,high_resistance_low_recovery
U003,2022-04,52,16032.701,high_resistance_low_recovery
U003,2022-05,53,15160.39,high_resistance_low_recovery
U003,2022-06,54,15187.308,high_resistance_low_recovery
U003,2022-07,55,15170.41,high_resistance_low_recovery
U003,2022-08,56,16082.356,high_resistance_low_recovery
U003,2022-09,57,16442.029,high_resistance_low_recovery
U003,2022-10,58,16310.969,high_resistance_low_recovery
U003,2022-11,59,17406.449,high_resistance_low_recovery
U003,2022-12,60,17674.822,high_resistance_low_recovery
U003,2023-01,61,17456.41,high_resistance_low_recovery
U003,2023-02,62,17048.223,high_resistance_low_recovery
U003,2023-03,63,15914.834,high_resistance_low_recovery
U003,2023-04,64,17317.063,high_resistance_low_recovery
U003,2023-05,65,16115.21,high_resistance_low_recovery
U003,2023-06,66,15278.548,high_resistance_low_recovery
U003,2023-07,67,15959.956,high_resistance_low_recovery
U003,2023-08,68,15212.379,high_resistance_low_recovery
U003,2023-09,69,16902.026,high_resistance_low_recovery
U003,2023-10,70,16285.114,high_resistance_low_recovery
U003,2023-11,71,17589.719,high_resistance_low_recovery
U003,2023-12,72,17942.342,high_resistance_low_recovery
U003,2024-01,73,17486.807,high_resistance_low_recovery
U003,2024-02,74,18409.715,high_resistance_low_recovery
U004,2018-01,1,10220.538,high_resistance_low_recovery
U004,2018-02,2,11344.017,high_resistance_low_recovery
U004,2018-03,3,11280.074,high_resistance_low_recovery
U004,2018-04,4,11873.113,high_resistance_low_recovery
U004,2018-05,5,10347.668,high_resistance_low_recovery
U004,2018-06,6,10964.509,high_resistance_low_recovery
U004,2018-07,7,12391.196,high_resistance_low_recovery
U004,2018-08,8,12497.037,high_resistance_low_recovery
U004,2018-09,9,11084.748,high_resistance_low_recovery
U004,2018-10,10,12267.456,high_resistance_low_recovery
U004,2018-11,11,12664.863,high_resistance_low_recovery
U004,2018-12,12,11268.999,high_resistance_low_recovery
U004,2019-01,13,11165.481,high_resistance_low_recovery
U004,2019-02,14,11627.07,high_resistance_low_recovery
U004,2019-03,15,9857.066,high_resistance_low_recovery
U004,2019-04,16,10813.852,high_resistance_low_recovery
U004,2019-05,17,10746.9,high_resistance_low_recovery
U004,2019-06,18,12912.27,high_resistance_low_recovery
U004,2019-07,19,11848.938,high_resistance_low_recovery
U004,2019-08,20,11990.422,high_resistance_low_recovery
U004,2019-09,21,11251.998,high_resistance_low_recovery
U004,2019-10,22,10707.485,high_resistance_low_recovery
U004,2019-11,23,11569.627,high_resistance_low_recovery
U004,2019-12,24,11918.001,high_resistance_low_recovery
U004,2020-01,25,12156.885,high_resistance_low_recovery
U004,2020-02,26,11951.885,high_resistance_low_recovery
U004,2020-03,27,11613.265,high_resistance_low_recovery
U004,2020-04,28,10886.238,high_resistance_low_recovery
U004,2020-05,29,10483.274,high_resistance_low_recovery
U004,2020-06,30,12635.303,high_resistance_low_recovery
U004,2020-07,31,11802.789,high_resistance_low_recovery
U004,2020-08,32,11566.923,high_resistance_low_recovery
U004,2020-09,33,11711.91,high_resistance_low_recovery
U004,2020-10,34,10797.645,high_resistance_low_recovery
U004,2020-11,35,10688.016,high_resistance_low_recovery
U004,2020-12,36,10916.208,high_resistance_low_recovery
U004,2021-01,37,11493.121,high_resistance_low_recovery
U004,2021-02,38,9538.866,high_resistance_low_recovery
U004,2021-03,39,10247.752,high_resistance_low_recovery
U004,2021-04,40,11285.68,high_resistance_low_recovery
U004,2021-05,41,10606.999,high_resistance_low_recovery
U004,2021-06,42,11566.061,high_resistance_low_recovery
U004,2021-07,43,11284.62,high_resistance_low_recovery
U004,2021-08,44,11505.621,high_resistance_low_recovery
U004,2021-09,45,10140.942,high_resistance_low_recovery
U004,2021-10,46,11011.171,high_resistance_low_recovery
U004,2021-11,47,11325.874,high_resistance_low_recovery
U004,2021-12,48,10381.81,high_resistance_low_recovery
U004,2022-01,49,10270.889,high_resistance_low_recovery
U004,2022-02,50,9763.702,high_resistance_low_recovery
U004,2022-03,51,10712.173,high_resistance_low_recovery
U004,2022-04,52,10677.815,high_resistance_low_recovery
U004,2022-05,53,10620.506,high_resistance_low_recovery
U004,2022-06,54,11311.932,high_resistance_low_recovery
U004,2022-07,55,10264.691,high_resistance_low_recovery
U004,2022-08,56,10450.092,high_resistance_low_recovery
U004,2022-09,57,11090.59,high_resistance_low_recovery
U004,2022-10,58,11647.83,high_resistance_low_recovery
U004,2022-11,59,11636.012,high_resistance_low_recovery
U004,2022-12,60,10017.839,high_resistance_low_recovery
U004,2023-01,61,10744.006,high_resistance_low_recovery
U004,2023-02,62,10503.103,high_resistance_low_recovery
U004,2023-03,63,11209.253,high_resistance_low_recovery
U004,2023-04,64,11160.068,high_resistance_low_recovery
U004,2023-05,65,10762.265,high_resistance_low_recovery
U004,2023-06,66,10700.786,high_resistance_low_recovery
U004,2023-07,67,11299.82,high_resistance_low_recovery
U004,2023-08,68,11372.567,high_resistance_low_recovery
U004,2023-09,69,11658.154,high_resistance_low_recovery
U004,2023-10,70,11238.652,high_resistance_low_recovery
U004,2023-11,71,10816.349,high_resistance_low_recovery
U004,2023-12,72,9156.453,high_resistance_low_recovery
U004,2024-01,73,9065.083,high_resistance_low_recovery
U004,2024-02,74,10194.322,high_resistance_low_recovery
U005,2018-01,1,16538.039,low_resistance_high_recovery
U005,2018-02,2,16871.1,low_resistance_high_recovery
U005,2018-03,3,17411.352,low_resistance_high_recovery
U005,2018-04,4,16741.026,low_resistance_high_recovery
U005,2018-05,5,16981.826,low_resistance_high_recovery
U005,2018-06,6,17054.769,low_resistance_high_recovery
U005,2018-07,7,15786.344,low_resistance_high_recovery
U005,2018-08,8,16136.277,low_resistance_high_recovery
U005,2018-09,9,16619.416,low_resistance_high_recovery
U005,2018-10,10,16008.515,low_resistance_high_recovery
U005,2018-11,11,16431.026,low_resistance_high_recovery
U005,2018-12,12,16551.145,low_resistance_high_recovery
U005,2019-01,13,17363.389,low_resistance_high_recovery
U005,2019-02,14,16315.093,low_resistance_high_recovery
U005,2019-03,15,17775.297,low_resistance_high_recovery
U005,2019-04,16,16966.323,low_resistance_high_recovery
U005,2019-05,17,16650.259,low_resistance_high_recovery
U005,2019-06,18,16982.108,low_resistance_high_recovery
U005,2019-07,19,15734.049,low_resistance_high_recovery
U005,2019-08,20,15634.459,low_resistance_high_recovery
U005,2019-09,21,16001.688,low_resistance_high_recovery
U005,2019-10,22,15483.02,low_resistance_high_recovery
U005,2019-11,23,14520.002,low_resistance_high_recovery
U005,2019-12,24,14523.495,low_resistance_high_recovery
U005,2020-01,25,14341.912,low_resistance_high_recovery
U005,2020-02,26,13507.392,low_resistance_high_recovery
U005,2020-03,27,13418.831,low_resistance_high_recovery
U005,2020-04,28,12549.195,low_resistance_high_recovery
U005,2020-05,29,11333.388,low_resistance_high_recovery
U005,2020-06,30,11710.992,low_resistance_high_recovery
U005,2020-07,31,10401.586,low_resistance_high_recovery
U005,2020-08,32,9874.887,low_resistance_high_recovery
U005,2020-09,33,9156.424,low_resistance_high_recovery
U005,2020-10,34,9799.663,low_resistance_high_recovery
U005,2020-11,35,10204.589,low_resistance_high_recovery
U005,2020-12,36,10078.095,low_resistance_high_recovery
U005,2021-01,37,10826.418,low_resistance_high_recovery
U005,2021-02,38,11763.484,low_resistance_high_recovery
U005,2021-03,39,11020.801,low_resistance_high_recovery
U005,2021-04,40,11684.532,low_resistance_high_recovery
U005,2021-05,41,10901.327,low_resistance_high_recovery
U005,2021-06,42,11538.763,low_resistance_high_recovery
U005,2021-07,43,11386.803,low_resistance_high_recovery
U005,2021-08,44,12051.678,low_resistance_high_recovery
U005,2021-09,45,11935.844,low_resistance_high_recovery
U005,2021-10,46,12027.8,low_resistance_high_recovery
U005,2021-11,47,13271.645,low_resistance_high_recovery
U005,2021-12,48,11685.082,low_resistance_high_recovery
U005,2022-01,49,12913.567,low_resistance_high_recovery
U005,2022-02,50,13701.498,low_resistance_high_recovery
U005,2022-03,51,14064.38,low_resistance_high_recovery
U005,2022-04,52,13705.797,low_resistance_high_recovery
U005,2022-05,53,14294.934,low_resistance_high_recovery
U005,2022-06,54,13983.91,low_resistance_high_recovery
U005,2022-07,55,14028.882,low_resistance_high_recovery
U005,2022-08,56,13621.659,low_resistance_high_recovery
U005,2022-09,57,14937.642,low_resistance_high_recovery
U005,2022-10,58,15473.452,low_resistance_high_recovery
U005,2022-11,59,14512.996,low_resistance_high_recovery
U005,2022-12,60,16251.195,low_resistance_high_recovery
U005,2023-01,61,16128.835,low_resistance_high_recovery
U005,2023-02,62,15837.308,low_resistance_high_recovery
U005,2023-03,63,16641.351,low_resistance_high_recovery
U005,2023-04,64,16293.579,low_resistance_high_recovery
U005,2023-05,65,16058.016,low_resistance_high_recovery
U005,2023-06,66,16438.175,low_resistance_high_recovery
U005,2023-07,67,15785.629,low_resistance_high_recovery
U005,2023-08,68,16534.547,low_resistance_high_recovery
U005,2023-09,69,15405.981,low_resistance_high_recovery
U005,2023-10,70,15714.867,low_resistance_high_recovery
U005,2023-11,71,16802.517,low_resistance_high_recovery
U005,2023-12,72,16517.749,low_resistance_high_recovery
U005,2024-01,73,16847.303,low_resistance_high_recovery
U005,2024-02,74,17176.517,low_resistance_high_recovery
U006,2018-01,1,15849.456,low_resistance_high_recovery
U006,2018-02,2,15295.502,low_resistance_high_recovery
U006,2018-03,3,14919.405,low_resistance_high_recovery
U006,2018-04,4,15019.184,low_resistance_high_recovery
U006,2018-05,5,16344.473,low_resistance_high_recovery
U006,2018-06,6,15510.251,low_resistance_high_recovery
U006,2018-07,7,17037.955,low_resistance_high_recovery
U006,2018-08,8,17156.604,low_resistance_high_recovery
U006,2018-09,9,16431.5,low_resistance_high_recovery
U006,2018-10,10,17981.832,low_resistance_high_recovery
U006,2018-11,11,16859.33,low_resistance_high_recovery
U006,2018-12,12,16102.119,low_resistance_high_recovery
U006,2019-01,13,16134.975,low_resistance_high_recovery
U006,2019-02,14,15316.561,low_resistance_high_recovery
U006,2019-03,15,15914.909,low_resistance_high_recovery
U006,2019-04,16,15448.987,low_resistance_high_recovery
U006,2019-05,17,17080.241,low_resistance_high_recovery
U006,2019-06,18,17626.277,low_resistance_high_recovery
U006,2019-07,19,17654.78,low_resistance_high_recovery
U006,2019-08,20,18335.451,low_resistance_high_recovery
U006,2019-09,21,18192.186,low_resistance_high_recovery
U006,2019-10,22,18196.197,low_resistance_high_recovery
U006,2019-11,23,18011.578,low_resistance_high_recovery
U006,2019-12,24,16045.36,low_resistance_high_recovery
U006,2020-01,25,17229.71,low_resistance_high_recovery
U006,2020-02,26,16990.849,low_resistance_high_recovery
U006,2020-03,27,15276.12,low_resistance_high_recovery
U006,2020-04,28,14389.293,low_resistance_high_recovery
U006,2020-05,29,13369.611,low_resistance_high_recovery
U006,2020-06,30,12429.775,low_resistance_high_recovery
U006,2020-07,31,12121.582,low_resistance_high_recovery
U006,2020-08,32,11287.108,low_resistance_high_recovery
U006,2020-09,33,11957.428,low_resistance_high_recovery
U006,2020-10,34,12531.405,low_resistance_high_recovery
U006,2020-11,35,12684.821,low_resistance_high_recovery
U006,2020-12,36,11247.164,low_resistance_high_recovery
U006,2021-01,37,11045.67,low_resistance_high_recovery
U006,2021-02,38,12039.066,low_resistance_high_recovery
U006,2021-03,39,12198.943,low_resistance_high_recovery
U006,2021-04,40,11172.021,low_resistance_high_recovery
U006,2021-05,41,12799.595,low_resistance_high_recovery
U006,2021-06,42,12411.76,low_resistance_high_recovery
U006,2021-07,43,14084.877,low_resistance_high_recovery
U006,2021-08,44,14212.608,low_resistance_high_recovery
U006,2021-09,45,15272.671,low_resistance_high_recovery
U006,2021-10,46,13823.917,low_resistance_high_recovery
U006,2021-11,47,14492.277,low_resistance_high_recovery
U006,2021-12,48,13474.264,low_resistance_high_recovery
U006,2022-01,49,14024.42,low_resistance_high_recovery
U006,2022-02,50,13736.731,low_resistance_high_recovery
U006,2022-03,51,14334.232,low_resistance_high_recovery
U006,2022-04,52,14023.195,low_resistance_high_recovery
U006,2022-05,53,15546.339,low_resistance_high_recovery
U006,2022-06,54,15303.795,low_resistance_high_recovery
U006,2022-07,55,16593.999,low_resistance_high_recovery
U006,2022-08,56,15982.172,low_resistance_high_recovery
U006,2022-09,57,16522.639,low_resistance_high_recovery
U006,2022-10,58,16584.881,low_resistance_high_recovery
U006,2022-11,59,16911.262,low_resistance_high_recovery
U006,2022-12,60,15481.527,low_resistance_high_recovery
U006,2023-01,61,15528.612,low_resistance_high_recovery
U006,2023-02,62,15177.053,low_resistance_high_recovery
U006,2023-03,63,15845.523,low_resistance_high_recovery
U006,2023-04,64,15689.245,low_resistance_high_recovery
U006,2023-05,65,16792.359,low_resistance_high_recovery
U006,2023-06,66,17664.55,low_resistance_high_recovery
U006,2023-07,67,18429.547,low_resistance_high_recovery
U006,2023-08,68,18424.237,low_resistance_high_recovery
U006,2023-09,69,17687.732,low_resistance_high_recovery
U006,2023-10,70,18064.308,low_resistance_high_recovery
U006,2023-11,71,18749.681,low_resistance_high_recovery
U006,2023-12,72,18594.556,low_resistance_high_recovery
U006,2024-01,73,17887.383,low_resistance_high_recovery
U006,2024-02,74,15989.723,low_resistance_high_recovery
U007,2018-01,1,24332.932,low_resistance_high_recovery
U007,2018-02,2,24211.856,low_resistance_high_recovery
U007,2018-03,3,23939.634,low_resistance_high_recovery
U007,2018-04,4,24551.955,low_resistance_high_recovery
U007,2018-05,5,23904.959,low_resistance_high_recovery
U007,2018-06,6,22906.788,low_resistance_high_recovery
U007,2018-07,7,22713.249,low_resistance_high_recovery
U007,2018-08,8,22094.709,low_resistance_high_recovery
U007,2018-09,9,22929.331,low_resistance_high_recovery
U007,2018-10,10,22661.175,low_resistance_high_recovery
U007,2018-11,11,23659.559,low_resistance_high_recovery
U007,2018-12,12,23884.418,low_resistance_high_recovery
U007,2019-01,13,24003.199,low_resistance_high_recovery
U007,2019-02,14,24654.419,low_resistance_high_recovery
U007,2019-03,15,24509.427,low_resistance_high_recovery
U007,2019-04,16,24131.653,low_resistance_high_recovery
U007,2019-05,17,23761.72,low_resistance_high_recovery
U007,2019-06,18,23443.553,low_resistance_high_recovery
U007,2019-07,19,22459.48,low_resistance_high_recovery
U007,2019-08,20,21767.384,low_resistance_high_recovery
U007,2019-09,21,23130.294,low_resistance_high_recovery
U007,2019-10,22,23164.899,low_resistance_high_recovery
U007,2019-11,23,23548.817,low_resistance_high_recovery
U007,2019-12,24,23271.428,low_resistance_high_recovery
U007,2020-01,25,23332.182,low_resistance_high_recovery
U007,2020-02,26,22498.437,low_resistance_high_recovery
U007,2020-03,27,22811.209,low_resistance_high_recovery
U007,2020-04,28,21584.182,low_resistance_high_recovery
U007,2020-05,29,21173.338,low_resistance_high_recovery
U007,2020-06,30,19647.186,low_resistance_high_recovery
U007,2020-07,31,18930.938,low_resistance_high_recovery
U007,2020-08,32,18813.101,low_resistance_high_recovery
U007,2020-09,33,17619.068,low_resistance_high_recovery
U007,2020-10,34,17670.483,low_resistance_high_recovery
U007,2020-11,35,17776.544,low_resistance_high_recovery
U007,2020-12,36,17417.061,low_resistance_high_recovery
U007,2021-01,37,17598.535,low_resistance_high_recovery
U007,2021-02,38,16885.257,low_resistance_high_recovery
U007,2021-03,39,16335.114,low_resistance_high_recovery
U007,2021-04,40,15527.852,low_resistance_high_recovery
U007,2021-05,41,15954.401,low_resistance_high_recovery
U007,2021-06,42,16014.921,low_resistance_high_recovery
U007,2021-07,43,15836.122,low_resistance_high_recovery
U007,2021-08,44,15492.238,low_resistance_high_recovery
U007,2021-09,45,15961.436,low_resistance_high_recovery
U007,2021-10,46,16089.566,low_resistance_high_recovery
U007,2021-11,47,16923.339,low_resistance_high_recovery
U007,2021-12,48,18837.98,low_resistance_high_recovery
U007,2022-01,49,19140.271,low_resistance_high_recovery
U007,2022-02,50,19735.187,low_resistance_high_recovery
U007,2022-03,51,19847.574,low_resistance_high_recovery
U007,2022-04,52,19924.476,low_resistance_high_recovery
U007,2022-05,53,19972.989,low_resistance_high_recovery
U007,2022-06,54,19991.236,low_resistance_high_recovery
U007,2022-07,55,19055.702,low_resistance_high_recovery
U007,2022-08,56,20361.08,low_resistance_high_recovery
U007,2022-09,57,19767.123,low_resistance_high_recovery
U007,2022-10,58,21275.923,low_resistance_high_recovery
U007,2022-11,59,22181.927,low_resistance_high_recovery
U007,2022-12,60,22327.718,low_resistance_high_recovery
U007,2023-01,61,23268.291,low_resistance_high_recovery
U007,2023-02,62,23324.129,low_resistance_high_recovery
U007,2023-03,63,24130.092,low_resistance_high_recovery
U007,2023-04,64,23759.886,low_resistance_high_recovery
U007,2023-05,65,23790.604,low_resistance_high_recovery
U007,2023-06,66,23128.693,low_resistance_high_recovery
U007,2023-07,67,22561.082,low_resistance_high_recovery
U007,2023-08,68,22302.785,low_resistance_high_recovery
U007,2023-09,69,23104.321,low_resistance_high_recovery
U007,2023-10,70,23175.493,low_resistance_high_recovery
U007,2023-11,71,23614.384,low_resistance_high_recovery
U007,2023-12,72,23772.583,low_resistance_high_recovery
U007,2024-01,73,24454.261,low_resistance_high_recovery
U007,2024-02,74,24311.494,low_resistance_high_recovery
U008,2018-01,1,14540.628,adaptive_growth
U008,2018-02,2,14844.669,adaptive_growth
U008,2018-03,3,15170.044,adaptive_growth
U008,2018-04,4,15803.805,adaptive_growth
U008,2018-05,5,15607.99,adaptive_growth
U008,2018-06,6,16430.192,adaptive_growth
U008,2018-07,7,16303.475,adaptive_growth
U008,2018-08,8,16504.617,adaptive_growth
U008,2018-09,9,15924.384,adaptive_growth
U008,2018-10,10,15292.307,adaptive_growth
U008,2018-11,11,14469.397,adaptive_growth
